Category,Description,Inputs,Outputs,Status
Junk Market,Soulflay -> Perfect Topaz,"Antidote Potion,Soulflay",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Kinemils Awl,"Stamina Potion,Pul Rune,Giant Sword,Identify Scroll",Kinemils Awl,EXISTING
Junk Market,Kinemils Awl -> Perfect Topaz,"Antidote Potion,Kinemils Awl",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Blacktongue,"Stamina Potion,Pul Rune,Bastard Sword,Identify Scroll",Blacktongue,EXISTING
Junk Market,Blacktongue -> Perfect Topaz,"Antidote Potion,Blacktongue",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Ripsaw,"Stamina Potion,Pul Rune,Flamberge,Identify Scroll",Ripsaw,EXISTING
Junk Market,Ripsaw -> Perfect Topaz,"Antidote Potion,Ripsaw",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> The Patriarch,"Stamina Potion,Pul Rune,Great Sword,Identify Scroll",The Patriarch,EXISTING
Junk Market,The Patriarch -> Perfect Topaz,"Antidote Potion,The Patriarch",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> The Diggler,"Stamina Potion,Pul Rune,Dirk,Identify Scroll",The Diggler,EXISTING
Junk Market,The Diggler -> Perfect Topaz,"Antidote Potion,The Diggler",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> The Jade Tan Do,"Stamina Potion,Pul Rune,Kriss,Identify Scroll",The Jade Tan Do,EXISTING
Junk Market,The Jade Tan Do -> Perfect Topaz,"Antidote Potion,The Jade Tan Do",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Irices Shard,"Stamina Potion,Pul Rune,Blade,Identify Scroll",Irices Shard,EXISTING
Junk Market,Irices Shard -> Perfect Topaz,"Antidote Potion,Irices Shard",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> The Dragon Chang,"Stamina Potion,Pul Rune,Spear,Identify Scroll",The Dragon Chang,EXISTING
Junk Market,The Dragon Chang -> Perfect Topaz,"Antidote Potion,The Dragon Chang",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Razortine,"Stamina Potion,Pul Rune,Trident,Identify Scroll",Razortine,EXISTING
Junk Market,Razortine -> Perfect Topaz,"Antidote Potion,Razortine",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Bloodthief,"Stamina Potion,Pul Rune,Brandistock,Identify Scroll",Bloodthief,EXISTING
Junk Market,Bloodthief -> Perfect Topaz,"Antidote Potion,Bloodthief",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Lance of Yaggai,"Stamina Potion,Pul Rune,Spetum,Identify Scroll",Lance of Yaggai,EXISTING
Junk Market,Lance of Yaggai -> Perfect Topaz,"Antidote Potion,Lance of Yaggai",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> The Tannr Gorerod,"Stamina Potion,Pul Rune,Pike,Identify Scroll",The Tannr Gorerod,EXISTING
Junk Market,The Tannr Gorerod -> Perfect Topaz,"Antidote Potion,The Tannr Gorerod",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Dimoaks Hew,"Stamina Potion,Pul Rune,Bardiche,Identify Scroll",Dimoaks Hew,EXISTING
Junk Market,Dimoaks Hew -> Perfect Topaz,"Antidote Potion,Dimoaks Hew",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Steelgoad,"Stamina Potion,Pul Rune,Voulge,Identify Scroll",Steelgoad,EXISTING
Junk Market,Steelgoad -> Perfect Topaz,"Antidote Potion,Steelgoad",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Soul Harvest,"Stamina Potion,Pul Rune,Scythe,Identify Scroll",Soul Harvest,EXISTING
Junk Market,Soul Harvest -> Perfect Topaz,"Antidote Potion,Soul Harvest",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> The Battlebranch,"Stamina Potion,Pul Rune,Poleaxe,Identify Scroll",The Battlebranch,EXISTING
Junk Market,The Battlebranch -> Perfect Topaz,"Antidote Potion,The Battlebranch",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Woestave,"Stamina Potion,Pul Rune,Halberd,Identify Scroll",Woestave,EXISTING
Junk Market,Woestave -> Perfect Topaz,"Antidote Potion,Woestave",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> The Grim Reaper,"Stamina Potion,Pul Rune,War Scythe,Identify Scroll",The Grim Reaper,EXISTING
Junk Market,The Grim Reaper -> Perfect Topaz,"Antidote Potion,The Grim Reaper",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Bane Ash,"Stamina Potion,Pul Rune,Short Staff,Identify Scroll",Bane Ash,EXISTING
Junk Market,Bane Ash -> Perfect Topaz,"Antidote Potion,Bane Ash",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Serpent Lord,"Stamina Potion,Pul Rune,Long Staff,Identify Scroll",Serpent Lord,EXISTING
Junk Market,Serpent Lord -> Perfect Topaz,"Antidote Potion,Serpent Lord",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Lazarus Spire,"Stamina Potion,Pul Rune,cst,Identify Scroll",Lazarus Spire,EXISTING
Junk Market,Lazarus Spire -> Perfect Topaz,"Antidote Potion,Lazarus Spire",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> The Salamander,"Stamina Potion,Pul Rune,Battle Staff,Identify Scroll",The Salamander,EXISTING
Junk Market,The Salamander -> Perfect Topaz,"Antidote Potion,The Salamander",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> The Iron Jang Bong,"Stamina Potion,Pul Rune,War Staff,Identify Scroll",The Iron Jang Bong,EXISTING
Junk Market,The Iron Jang Bong -> Perfect Topaz,"Antidote Potion,The Iron Jang Bong",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Pluckeye,"Stamina Potion,Pul Rune,Short Bow,Identify Scroll",Pluckeye,EXISTING
Junk Market,Pluckeye -> Perfect Topaz,"Antidote Potion,Pluckeye",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Witherstring,"Stamina Potion,Pul Rune,Hunter’s Bow,Identify Scroll",Witherstring,EXISTING
Junk Market,Witherstring -> Perfect Topaz,"Antidote Potion,Witherstring",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Rimeraven,"Stamina Potion,Pul Rune,Long Bow,Identify Scroll",Rimeraven,EXISTING
Junk Market,Rimeraven -> Perfect Topaz,"Antidote Potion,Rimeraven",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Piercerib,"Stamina Potion,Pul Rune,Composite Bow,Identify Scroll",Piercerib,EXISTING
Junk Market,Piercerib -> Perfect Topaz,"Antidote Potion,Piercerib",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Pullspite,"Stamina Potion,Pul Rune,Shrt Battle Bow,Identify Scroll",Pullspite,EXISTING
Junk Market,Pullspite -> Perfect Topaz,"Antidote Potion,Pullspite",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Wizendraw,"Stamina Potion,Pul Rune,Long Battle Bow,Identify Scroll",Wizendraw,EXISTING
Junk Market,Wizendraw -> Perfect Topaz,"Antidote Potion,Wizendraw",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Hellclap,"Stamina Potion,Pul Rune,Short War Bow,Identify Scroll",Hellclap,EXISTING
Junk Market,Hellclap -> Perfect Topaz,"Antidote Potion,Hellclap",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Blastbark,"Stamina Potion,Pul Rune,Long War Bow,Identify Scroll",Blastbark,EXISTING
Junk Market,Blastbark -> Perfect Topaz,"Antidote Potion,Blastbark",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Leadcrow,"Stamina Potion,Pul Rune,Light Crossbow,Identify Scroll",Leadcrow,EXISTING
Junk Market,Leadcrow -> Perfect Topaz,"Antidote Potion,Leadcrow",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Ichorsting,"Stamina Potion,Pul Rune,Crossbow,Identify Scroll",Ichorsting,EXISTING
Junk Market,Ichorsting -> Perfect Topaz,"Antidote Potion,Ichorsting",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Hellcast,"Stamina Potion,Pul Rune,Heavy Crossbow,Identify Scroll",Hellcast,EXISTING
Junk Market,Hellcast -> Perfect Topaz,"Antidote Potion,Hellcast",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Doomspittle,"Stamina Potion,Pul Rune,Repeating X-bow,Identify Scroll",Doomspittle,EXISTING
Junk Market,Doomspittle -> Perfect Topaz,"Antidote Potion,Doomspittle",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> War Bonnet,"Stamina Potion,Pul Rune,Cap,Identify Scroll",War Bonnet,EXISTING
Junk Market,War Bonnet -> Perfect Topaz,"Antidote Potion,War Bonnet",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Tarnhelm,"Stamina Potion,Pul Rune,Skull Cap,Identify Scroll",Tarnhelm,EXISTING
Junk Market,Tarnhelm -> Perfect Topaz,"Antidote Potion,Tarnhelm",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Coif of Glory,"Stamina Potion,Pul Rune,Helm,Identify Scroll",Coif of Glory,EXISTING
Junk Market,Coif of Glory -> Perfect Topaz,"Antidote Potion,Coif of Glory",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Duskdeep,"Stamina Potion,Pul Rune,Full Helm,Identify Scroll",Duskdeep,EXISTING
Junk Market,Duskdeep -> Perfect Topaz,"Antidote Potion,Duskdeep",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Wormskull,"Stamina Potion,Pul Rune,Bone Helm,Identify Scroll",Wormskull,EXISTING
Junk Market,Wormskull -> Perfect Topaz,"Antidote Potion,Wormskull",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Howltusk,"Stamina Potion,Pul Rune,Great Helm,Identify Scroll",Howltusk,EXISTING
Junk Market,Howltusk -> Perfect Topaz,"Antidote Potion,Howltusk",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Undead Crown,"Stamina Potion,Pul Rune,Crown,Identify Scroll",Undead Crown,EXISTING
Junk Market,Undead Crown -> Perfect Topaz,"Antidote Potion,Undead Crown",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> The Face of Horror,"Stamina Potion,Pul Rune,Mask,Identify Scroll",The Face of Horror,EXISTING
Junk Market,The Face of Horror -> Perfect Topaz,"Antidote Potion,The Face of Horror",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Blinkbats Form,"Stamina Potion,Pul Rune,Leather Armor,Identify Scroll",Blinkbats Form,EXISTING
Junk Market,Blinkbats Form -> Perfect Topaz,"Antidote Potion,Blinkbats Form",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> The Centurion,"Stamina Potion,Pul Rune,Hard Leather,Identify Scroll",The Centurion,EXISTING
Junk Market,The Centurion -> Perfect Topaz,"Antidote Potion,The Centurion",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Twitchthroe,"Stamina Potion,Pul Rune,Studded Leather,Identify Scroll",Twitchthroe,EXISTING
Junk Market,Twitchthroe -> Perfect Topaz,"Antidote Potion,Twitchthroe",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Darkglow,"Stamina Potion,Pul Rune,Ring Mail,Identify Scroll",Darkglow,EXISTING
Junk Market,Darkglow -> Perfect Topaz,"Antidote Potion,Darkglow",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Hawkmail,"Stamina Potion,Pul Rune,Scale Mail,Identify Scroll",Hawkmail,EXISTING
Junk Market,Hawkmail -> Perfect Topaz,"Antidote Potion,Hawkmail",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Sparking Mail,"Stamina Potion,Pul Rune,Chain Mail,Identify Scroll",Sparking Mail,EXISTING
Junk Market,Sparking Mail -> Perfect Topaz,"Antidote Potion,Sparking Mail",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Venomsward,"Stamina Potion,Pul Rune,Breast Plate,Identify Scroll",Venomsward,EXISTING
Junk Market,Venomsward -> Perfect Topaz,"Antidote Potion,Venomsward",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Iceblink,"Stamina Potion,Pul Rune,Splint Mail,Identify Scroll",Iceblink,EXISTING
Junk Market,Iceblink -> Perfect Topaz,"Antidote Potion,Iceblink",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Boneflesh,"Stamina Potion,Pul Rune,Plate Mail,Identify Scroll",Boneflesh,EXISTING
Junk Market,Boneflesh -> Perfect Topaz,"Antidote Potion,Boneflesh",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Rockfleece,"Stamina Potion,Pul Rune,Field Plate,Identify Scroll",Rockfleece,EXISTING
Junk Market,Rockfleece -> Perfect Topaz,"Antidote Potion,Rockfleece",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Rattlecage,"Stamina Potion,Pul Rune,Gothic Plate,Identify Scroll",Rattlecage,EXISTING
Junk Market,Rattlecage -> Perfect Topaz,"Antidote Potion,Rattlecage",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Goldskin,"Stamina Potion,Pul Rune,Full Plate Mail,Identify Scroll",Goldskin,EXISTING
Junk Market,Goldskin -> Perfect Topaz,"Antidote Potion,Goldskin",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Victors Silk,"Stamina Potion,Pul Rune,Ancient Armor,Identify Scroll",Victors Silk,EXISTING
Junk Market,Victors Silk -> Perfect Topaz,"Antidote Potion,Victors Silk",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Heavenly Garb,"Stamina Potion,Pul Rune,Light Plate,Identify Scroll",Heavenly Garb,EXISTING
Junk Market,Heavenly Garb -> Perfect Topaz,"Antidote Potion,Heavenly Garb",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Pelta Lunata,"Stamina Potion,Pul Rune,Buckler,Identify Scroll",Pelta Lunata,EXISTING
Junk Market,Pelta Lunata -> Perfect Topaz,"Antidote Potion,Pelta Lunata",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Umbral Disk,"Stamina Potion,Pul Rune,Small Shield,Identify Scroll",Umbral Disk,EXISTING
Junk Market,Umbral Disk -> Perfect Topaz,"Antidote Potion,Umbral Disk",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Stormguild,"Stamina Potion,Pul Rune,Large Shield,Identify Scroll",Stormguild,EXISTING
Junk Market,Stormguild -> Perfect Topaz,"Antidote Potion,Stormguild",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Wall of the Eyeless,"Stamina Potion,Pul Rune,Bone Shield,Identify Scroll",Wall of the Eyeless,EXISTING
Junk Market,Wall of the Eyeless -> Perfect Topaz,"Antidote Potion,Wall of the Eyeless",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Swordback Hold,"Stamina Potion,Pul Rune,Spiked Shield,Identify Scroll",Swordback Hold,EXISTING
Junk Market,Swordback Hold -> Perfect Topaz,"Antidote Potion,Swordback Hold",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Steelclash,"Stamina Potion,Pul Rune,Kite Shield,Identify Scroll",Steelclash,EXISTING
Junk Market,Steelclash -> Perfect Topaz,"Antidote Potion,Steelclash",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Bverrit Keep,"Stamina Potion,Pul Rune,Tower Shield,Identify Scroll",Bverrit Keep,EXISTING
Junk Market,Bverrit Keep -> Perfect Topaz,"Antidote Potion,Bverrit Keep",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> The Ward,"Stamina Potion,Pul Rune,Gothic Shield,Identify Scroll",The Ward,EXISTING
Junk Market,The Ward -> Perfect Topaz,"Antidote Potion,The Ward",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Frostburn,"Stamina Potion,Pul Rune,Gauntlets,Identify Scroll",Frostburn,EXISTING
Junk Market,Frostburn -> Perfect Topaz,"Antidote Potion,Frostburn",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Gorefoot,"Stamina Potion,Pul Rune,Heavy Boots,Identify Scroll",Gorefoot,EXISTING
Junk Market,Gorefoot -> Perfect Topaz,"Antidote Potion,Gorefoot",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Treads of Cthon,"Stamina Potion,Pul Rune,Chain Boots,Identify Scroll",Treads of Cthon,EXISTING
Junk Market,Treads of Cthon -> Perfect Topaz,"Antidote Potion,Treads of Cthon",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Goblin Toe,"Stamina Potion,Pul Rune,Light Plate,Identify Scroll",Goblin Toe,EXISTING
Junk Market,Goblin Toe -> Perfect Topaz,"Antidote Potion,Goblin Toe",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Tearhaunch,"Stamina Potion,Pul Rune,Greaves,Identify Scroll",Tearhaunch,EXISTING
Junk Market,Tearhaunch -> Perfect Topaz,"Antidote Potion,Tearhaunch",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Lenyms Cord,"Stamina Potion,Pul Rune,Sash,Identify Scroll",Lenyms Cord,EXISTING
Junk Market,Lenyms Cord -> Perfect Topaz,"Antidote Potion,Lenyms Cord",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Snakecord,"Stamina Potion,Pul Rune,Light Belt,Identify Scroll",Snakecord,EXISTING
Junk Market,Snakecord -> Perfect Topaz,"Antidote Potion,Snakecord",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Nightsmoke,"Stamina Potion,Pul Rune,Belt,Identify Scroll",Nightsmoke,EXISTING
Junk Market,Nightsmoke -> Perfect Topaz,"Antidote Potion,Nightsmoke",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Goldwrap,"Stamina Potion,Pul Rune,Heavy Belt,Identify Scroll",Goldwrap,EXISTING
Junk Market,Goldwrap -> Perfect Topaz,"Antidote Potion,Goldwrap",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Bladebuckle,"Stamina Potion,Pul Rune,Plated Belt,Identify Scroll",Bladebuckle,EXISTING
Junk Market,Bladebuckle -> Perfect Topaz,"Antidote Potion,Bladebuckle",Perfect Topaz,EXISTING
Junk Market,Fal Rune -> Nokozan Relic,"Stamina Potion,Fal Rune,amulet,Identify Scroll",Nokozan Relic,EXISTING
Junk Market,Nokozan Relic -> Perfect Topaz,"Antidote Potion,Nokozan Relic",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> The Eye of Etlich,"Stamina Potion,Pul Rune,amulet,Identify Scroll",The Eye of Etlich,EXISTING
Junk Market,The Eye of Etlich -> Perfect Topaz,"Antidote Potion,The Eye of Etlich",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> The Mahim-Oak Curio,"Stamina Potion,Pul Rune,amulet,Fal Rune",The Mahim-Oak Curio,EXISTING
Junk Market,The Mahim-Oak Curio -> Perfect Topaz,"Antidote Potion,The Mahim-Oak Curio",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Manald Heal,"Stamina Potion,Pul Rune,ring,Thawing Potion",Manald Heal,EXISTING
Junk Market,Manald Heal -> Perfect Topaz,"Antidote Potion,Manald Heal",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Coldkill,"Stamina Potion,Pul Rune,Hatchet,Identify Scroll",Coldkill,EXISTING
Junk Market,Coldkill -> Perfect Topaz,"Antidote Potion,Coldkill",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Butcher's Pupil,"Stamina Potion,Pul Rune,Cleaver,Identify Scroll",Butcher's Pupil,EXISTING
Junk Market,Butcher's Pupil -> Perfect Topaz,"Antidote Potion,Butcher's Pupil",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Islestrike,"Stamina Potion,Pul Rune,Twin Axe,Identify Scroll",Islestrike,EXISTING
Junk Market,Islestrike -> Perfect Topaz,"Antidote Potion,Islestrike",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Pompe's Wrath,"Stamina Potion,Pul Rune,Crowbill,Identify Scroll",Pompe's Wrath,EXISTING
Junk Market,Pompe's Wrath -> Perfect Topaz,"Antidote Potion,Pompe's Wrath",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Guardian Naga,"Stamina Potion,Pul Rune,Naga,Identify Scroll",Guardian Naga,EXISTING
Junk Market,Guardian Naga -> Perfect Topaz,"Antidote Potion,Guardian Naga",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Warlord's Trust,"Stamina Potion,Pul Rune,Military Axe,Identify Scroll",Warlord's Trust,EXISTING
Junk Market,Warlord's Trust -> Perfect Topaz,"Antidote Potion,Warlord's Trust",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Spellsteel,"Stamina Potion,Pul Rune,Bearded Axe,Identify Scroll",Spellsteel,EXISTING
Junk Market,Spellsteel -> Perfect Topaz,"Antidote Potion,Spellsteel",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Stormrider,"Stamina Potion,Pul Rune,Tabar,Identify Scroll",Stormrider,EXISTING
Junk Market,Stormrider -> Perfect Topaz,"Antidote Potion,Stormrider",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Boneslayer Blade,"Stamina Potion,Pul Rune,Gothic Axe,Identify Scroll",Boneslayer Blade,EXISTING
Junk Market,Boneslayer Blade -> Perfect Topaz,"Antidote Potion,Boneslayer Blade",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> The Minataur,"Stamina Potion,Pul Rune,Ancient Axe,Identify Scroll",The Minataur,EXISTING
Junk Market,The Minataur -> Perfect Topaz,"Antidote Potion,The Minataur",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Suicide Branch,"Stamina Potion,Pul Rune,Burnt Wand,Identify Scroll",Suicide Branch,EXISTING
Junk Market,Suicide Branch -> Perfect Topaz,"Antidote Potion,Suicide Branch",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Carin Shard,"Stamina Potion,Pul Rune,Petrified Wand,Identify Scroll",Carin Shard,EXISTING
Junk Market,Carin Shard -> Perfect Topaz,"Antidote Potion,Carin Shard",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Arm of King Leoric,"Stamina Potion,Pul Rune,Tomb Wand,Identify Scroll",Arm of King Leoric,EXISTING
Junk Market,Arm of King Leoric -> Perfect Topaz,"Antidote Potion,Arm of King Leoric",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Blackhand Key,"Stamina Potion,Pul Rune,Grave Wand,Identify Scroll",Blackhand Key,EXISTING
Junk Market,Blackhand Key -> Perfect Topaz,"Antidote Potion,Blackhand Key",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Dark Clan Crusher,"Stamina Potion,Pul Rune,Cudgel,Identify Scroll",Dark Clan Crusher,EXISTING
Junk Market,Dark Clan Crusher -> Perfect Topaz,"Antidote Potion,Dark Clan Crusher",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Zakarum's Hand,"Stamina Potion,Pul Rune,Rune Sceptre,Identify Scroll",Zakarum's Hand,EXISTING
Junk Market,Zakarum's Hand -> Perfect Topaz,"Antidote Potion,Zakarum's Hand",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> The Fetid Sprinkler,"Stamina Potion,Pul Rune,Holy Water Spri,Identify Scroll",The Fetid Sprinkler,EXISTING
Junk Market,The Fetid Sprinkler -> Perfect Topaz,"Antidote Potion,The Fetid Sprinkler",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Hand of Blessed Light,"Stamina Potion,Pul Rune,Divine Sceptre,Identify Scroll",Hand of Blessed Light,EXISTING
Junk Market,Hand of Blessed Light -> Perfect Topaz,"Antidote Potion,Hand of Blessed Light",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Fleshrender,"Stamina Potion,Pul Rune,Barbed Club,Identify Scroll",Fleshrender,EXISTING
Junk Market,Fleshrender -> Perfect Topaz,"Antidote Potion,Fleshrender",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Sureshrill Frost,"Stamina Potion,Pul Rune,Flanged Mace,Identify Scroll",Sureshrill Frost,EXISTING
Junk Market,Sureshrill Frost -> Perfect Topaz,"Antidote Potion,Sureshrill Frost",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Moonfall,"Stamina Potion,Pul Rune,Jagged Star,Identify Scroll",Moonfall,EXISTING
Junk Market,Moonfall -> Perfect Topaz,"Antidote Potion,Moonfall",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Baezil's Vortex,"Stamina Potion,Pul Rune,Knout,Identify Scroll",Baezil's Vortex,EXISTING
Junk Market,Baezil's Vortex -> Perfect Topaz,"Antidote Potion,Baezil's Vortex",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Earthshaker,"Stamina Potion,Pul Rune,Battle Hammer,Identify Scroll",Earthshaker,EXISTING
Junk Market,Earthshaker -> Perfect Topaz,"Antidote Potion,Earthshaker",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Bloodtree Stump,"Stamina Potion,Pul Rune,War Club,Identify Scroll",Bloodtree Stump,EXISTING
Junk Market,Bloodtree Stump -> Perfect Topaz,"Antidote Potion,Bloodtree Stump",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> The Gavel of Pain,"Stamina Potion,Pul Rune,Martel de Fer,Identify Scroll",The Gavel of Pain,EXISTING
Junk Market,The Gavel of Pain -> Perfect Topaz,"Antidote Potion,The Gavel of Pain",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Bloodletter,"Stamina Potion,Pul Rune,Gladius,Identify Scroll",Bloodletter,EXISTING
Junk Market,Bloodletter -> Perfect Topaz,"Antidote Potion,Bloodletter",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Coldsteel Eye,"Stamina Potion,Pul Rune,Cutlass,Identify Scroll",Coldsteel Eye,EXISTING
Junk Market,Coldsteel Eye -> Perfect Topaz,"Antidote Potion,Coldsteel Eye",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Hexfire,"Stamina Potion,Pul Rune,Shamshir,Identify Scroll",Hexfire,EXISTING
Junk Market,Hexfire -> Perfect Topaz,"Antidote Potion,Hexfire",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Ginther's Rift,"Stamina Potion,Pul Rune,Dimensional Bld,Identify Scroll",Ginther's Rift,EXISTING
Junk Market,Ginther's Rift -> Perfect Topaz,"Antidote Potion,Ginther's Rift",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Headstriker,"Stamina Potion,Pul Rune,Battle Sword,Identify Scroll",Headstriker,EXISTING
Junk Market,Headstriker -> Perfect Topaz,"Antidote Potion,Headstriker",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Plague Bearer,"Stamina Potion,Pul Rune,Rune Sword,Identify Scroll",Plague Bearer,EXISTING
Junk Market,Plague Bearer -> Perfect Topaz,"Antidote Potion,Plague Bearer",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> The Atlantian,"Stamina Potion,Pul Rune,Ancient Sword,Identify Scroll",The Atlantian,EXISTING
Junk Market,The Atlantian -> Perfect Topaz,"Antidote Potion,The Atlantian",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Crainte Vomir,"Stamina Potion,Pul Rune,Espadon,Identify Scroll",Crainte Vomir,EXISTING
Junk Market,Crainte Vomir -> Perfect Topaz,"Antidote Potion,Crainte Vomir",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> Bing Sz Wang,"Stamina Potion,Pul Rune,Dacian Falx,Identify Scroll",Bing Sz Wang,EXISTING
Junk Market,Bing Sz Wang -> Perfect Topaz,"Antidote Potion,Bing Sz Wang",Perfect Topaz,EXISTING
Junk Market,Pul Rune -> The Vile Husk,"Stamina Potion,Pul Rune,Tusk Sword,Identify Scroll",The Vile Husk,EXISTING
Junk Market,The Vile Husk -> Perfect Topaz,"Antidote Potion,The Vile Husk",Perfect Topaz,EXISTING
